species,numBands,migration
ACFL,1,nt
AMGO,29,sd
AMRE,2,nt
AMRO,16,sd
BGGN,4,nt
BHCO,4,sd
BLGR,5,nt
BLJA,2,sd
BRTH,15,sd
BWWA,1,nt
CACH,21,r
CARW,18,r
CHSP,34,nt
COGR,3,sd
COYE,34,nt
DOWO,3,r
EABL,6,sd
EAPH,2,sd
EATO,8,sd
EUST,1,sd
FISP,65,sd
FOSP,2,sd
GRCA,28,nt
HETH,4,sd
HOFI,26,sd
HOWR,9,nt
INBU,48,nt
MAWA,2,nt
MOWA,1,nt
MYWA,4,sd
NOCA,53,r
NOMO,29,r
NOWA,5,nt
OROR,13,nt
OVEN,1,nt
PISI,1,sd
PUMA,19,nt
RCKI,4,sd
REVI,4,nt
RWBL,6,sd
SCJU,2,sd
SOSP,99,sd
SWSP,7,sd
TUTI,4,r
WEVI,5,nt
WIFL,2,nt
WPWA,2,nt
WTSP,123,sd
YBCH,5,nt
YBCU,1,nt
YEWA,1,nt
YPWA,4,nt
YSFL,1,sd
