Band Number,Species,Age,How Aged,Sex,How Sexed,Skull,Cloacal Protuberance,Brood Patch,Fat Score,Body Molt,Flight Feather Molt,Wing Chord,Bird Weight,Bird Status,Banding Date,Net Nest Cavity Designator,Location,Remarks,Left Leg Color 1,Left Leg Color 2,R Leg Color 1,R Leg Color 2
1222-86201,NOMO,HY,3,U,,,,,0,,,111,,300,10/12/2005,Net,PRRI,WEIGHT NOT TAKEN,,,,
1222-86202,NOMO,AHY,1,U,,,,,0,,,115,52.2,300,11/01/2005,Net,PRRI,,,,,
1222-86203,NOMO,AHY,1,M,C,,2,,0,Body Molt,Flight Feather Molt,99,49.4,300,08/17/2006,Net,PRRI,"MOLT, P6 AND OUTER TAIL FEATHERS",,,,
1222-86204,EATO,AHY,1,F,1,,,,0,Body Molt,,84,41.8,300,08/17/2006,Net,PRRI,,,,,
1222-86205,AMRO,HY,2,U,,,,,0,Body Molt,,128,73.1,300,08/17/2006,Net,PRRI,,,,,
1222-86206,NOMO,AHY,1,U,,,,,0,Body Molt,Flight Feather Molt,112,,300,08/17/2006,Net,PRRI,WEIGHT NOT TAKEN,,,,
1222-86207,NOMO,HY,2,U,,,,,1,,,,43.3,300,08/17/2006,Net,PRRI,WING CHORD NOT MEASURED; NET NUMBER UNKNOWN,,,,
1222-86208,NOMO,HY,2,U,,,,,0,,,101,43.3,300,08/17/2006,Net,PRRI,,,,,
1222-86209,BRTH,AHY,1,U,,,,,1,,,95,60.9,300,09/15/2006,Net,PRRI,,,,,
1222-86210,NOMO,AHY,S,U,,6,,,4,Body Molt,,105,52.9,300,09/15/2006,Net,PRRI,,,,,
1222-86211,NOMO,HY,2,U,,,,,0,Body Molt,,105,52.4,500,09/15/2006,Net,PRRI,BIRD APPEARED TO HAVE SOME WING STRAIN,,,,
1222-86212,NOMO,HY,S,U,,2,,,1,Body Molt,,102,52.3,300,09/15/2006,Net,PRRI,"T6=50%, T1=50%",,,,
1222-86213,NOMO,HY,2,U,,,,,1,,,111,44.6,300,09/15/2006,Net,PRRI,"WIERDLY LARGE WING, MAY HAVE BEEN MIS-MEASURED",,,,
1222-86214,NOMO,HY,2,U,,,,,0,Body Molt,,108,48.3,300,09/15/2006,Net,PRRI,,,,,
1222-86215,NOMO,AHY,1,U,,,,,0,Body Molt,,105,52.3,300,09/15/2006,Net,PRRI,TAIL COMPLETELY COMING IN EXCEPT L3 IS ALL THE WAY IN,,,,
1222-86216,NOMO,HY,2,U,,,,,0,Body Molt,,109,54.3,300,09/15/2006,Net,PRRI,,,,,
1222-86217,NOMO,HY,2,U,,,,,0,Body Molt,,98,49.4,300,09/15/2006,Net,PRRI,,,,,
1222-86218,NOMO,HY,2,U,,,,,0,Body Molt,,107,53.5,300,09/15/2006,Net,PRRI,"MISSING T1, T2=10%",,,,
1222-86219,NOCA,AHY,1,F,1,,,,0,Body Molt,Flight Feather Molt,88,40.9,300,09/28/2006,Net,PRRI,,,,,
1222-86220,AMRO,HY,2,U,,,,,0,Body Molt,,119,66.7,300,09/28/2006,Net,PRRI,,,,,
1222-86221,NOMO,AHY,1,U,,,,,0,Body Molt,Flight Feather Molt,102,46.7,300,09/28/2006,Net,PRRI,NET NUMBER UNKNOWN,,,,
1222-86222,NOMO,HY,2,U,,,,,0,Body Molt,,107,56.7,300,09/28/2006,Net,PRRI,NET NUMBER UNKNOWN,,,,
1222-86223,NOMO,U,,U,,,,,0,Body Molt,,104,52.4,300,10/05/2006,Net,PRRI,,,,,
1222-86224,NOMO,U,,U,,,,,,,,,,300,10/05/2006,Net,PRRI,,,,,
1222-86225,NOMO,HY,2,U,,,,,0,Body Molt,Flight Feather Molt,109,48.6,300,10/05/2006,Net,PRRI,,,,,
1222-86226,NOMO,AHY,1,U,,,,,1,Body Molt,,109,56.1,300,10/05/2006,Net,PRRI,,,,,
1222-86227,NOMO,U,,U,,,,,0,Body Molt,,105,52.7,300,10/05/2006,Net,PRRI,,,,,
1222-86228,NOMO,U,,U,,,,,,,,,,300,10/05/2006,Net,PRRI,BIRD ESCAPED,,,,
1222-86229,NOMO,HY,2,U,,,,,0,Body Molt,,112,50.9,300,10/05/2006,Net,PRRI,,,,,
1222-86230,NOMO,AHY,1,U,,,,,3,Body Molt,,101,48.4,300,10/24/2006,Net,PRRI,,,,,
1222-86231,NOMO,AHY,1,U,,,,,1,,,111,51.1,300,10/24/2006,Net,PRRI,,,,,
1222-86232,NOCA,U,,F,1,,,,0,Body Molt,,,45.6,300,10/24/2006,Net,PRRI,LT4=80%,,,,
1222-86233,NOMO,AHY,1,U,,,,,1,,,105,50.1,300,10/24/2006,Net,PRRI,,,,,
1222-86234,NOMO,AHY,1,U,,,,,1,Body Molt,,11,49.5,300,10/24/2006,Net,PRRI,TOE INJURY TO LEFT FOOT,,,,
1222-86235,NOMO,HY,1,U,,,,,2,,,114,69.3,300,11/01/2006,Net,PRRI,,,,,
1222-86236,NOMO,U,,U,,,,,2,,,105,44.6,300,11/01/2006,Net,PRRI,,,,,
1222-86237,NOMO,U,,U,,,,,0,,,109,55.9,300,11/01/2006,Net,PRRI,,,,,
1222-86238,NOMO,AHY,1,U,,,,,1,Body Molt,,101,47.5,300,11/09/2006,Net,PRRI,,,,,
1222-86239,NOCA,U,,M,1,,,,0,Body Molt,,95,40.8,300,11/09/2006,Net,PRRI,,,,,
1222-86241,NOCA,HY,2,F,2,,,,0,,,81,,301,09/10/2007,Net,PRRI,LEFT:AL/Y;LEFT:LB,13,2,18,
